# MNE-Annotations
# orig_time : 2021-01-01 10:14:48
# onset, duration, description
1454.26,0.0,photic_stimulation/5
1454.33,0.0,photic_stimulation/5
1454.395,0.0,photic_stimulation/5
1454.46,0.0,photic_stimulation/5
1454.53,0.0,photic_stimulation/5
1454.595,0.0,photic_stimulation/5
1454.66,0.0,photic_stimulation/5
1454.73,0.0,photic_stimulation/5
1454.795,0.0,photic_stimulation/5
1454.865,0.0,photic_stimulation/5
1454.93,0.0,photic_stimulation/5
1454.995,0.0,photic_stimulation/5
1455.06,0.0,photic_stimulation/5
1455.13,0.0,photic_stimulation/5
1455.195,0.0,photic_stimulation/5
1455.26,0.0,photic_stimulation/5
1455.33,0.0,photic_stimulation/5
1455.395,0.0,photic_stimulation/5
1455.46,0.0,photic_stimulation/5
1455.53,0.0,photic_stimulation/5
1455.595,0.0,photic_stimulation/5
1455.66,0.0,photic_stimulation/5
1455.73,0.0,photic_stimulation/5
1455.795,0.0,photic_stimulation/5
1455.865,0.0,photic_stimulation/5
1455.93,0.0,photic_stimulation/5
1455.995,0.0,photic_stimulation/5
1456.06,0.0,photic_stimulation/5
1456.13,0.0,photic_stimulation/5
1456.195,0.0,photic_stimulation/5
1456.26,0.0,photic_stimulation/5
1456.33,0.0,photic_stimulation/5
1456.395,0.0,photic_stimulation/5
1456.46,0.0,photic_stimulation/5
1456.53,0.0,photic_stimulation/5
1456.6,0.0,photic_stimulation/5
1456.665,0.0,photic_stimulation/5
1456.73,0.0,photic_stimulation/5
1456.795,0.0,photic_stimulation/5
1456.86,0.0,photic_stimulation/5
1456.93,0.0,photic_stimulation/5
1456.995,0.0,photic_stimulation/5
1457.06,0.0,photic_stimulation/5
1457.13,0.0,photic_stimulation/5
1457.195,0.0,photic_stimulation/5
1457.265,0.0,photic_stimulation/5
1457.33,0.0,photic_stimulation/5
1457.4,0.0,photic_stimulation/5
1457.465,0.0,photic_stimulation/5
1457.53,0.0,photic_stimulation/5
1457.595,0.0,photic_stimulation/5
1457.665,0.0,photic_stimulation/5
1457.73,0.0,photic_stimulation/5
1457.795,0.0,photic_stimulation/5
1457.865,0.0,photic_stimulation/5
1457.93,0.0,photic_stimulation/5
1457.995,0.0,photic_stimulation/5
1458.065,0.0,photic_stimulation/5
1458.13,0.0,photic_stimulation/5
1458.2,0.0,photic_stimulation/5
1458.265,0.0,photic_stimulation/5
1458.33,0.0,photic_stimulation/5
1458.395,0.0,photic_stimulation/5
1458.465,0.0,photic_stimulation/5
1458.53,0.0,photic_stimulation/5
1458.595,0.0,photic_stimulation/5
1458.665,0.0,photic_stimulation/5
1458.73,0.0,photic_stimulation/5
1458.795,0.0,photic_stimulation/5
1458.865,0.0,photic_stimulation/5
1458.93,0.0,photic_stimulation/5
1459.0,0.0,photic_stimulation/5
1459.065,0.0,photic_stimulation/5
1459.13,0.0,photic_stimulation/5
1459.195,0.0,photic_stimulation/5
1459.265,0.0,photic_stimulation/5
1459.33,0.0,photic_stimulation/5
1459.395,0.0,photic_stimulation/5
1459.465,0.0,photic_stimulation/5
1459.53,0.0,photic_stimulation/5
1459.595,0.0,photic_stimulation/5
1459.665,0.0,photic_stimulation/5
1459.73,0.0,photic_stimulation/5
1459.795,0.0,photic_stimulation/5
1459.865,0.0,photic_stimulation/5
1459.93,0.0,photic_stimulation/5
1460.0,0.0,photic_stimulation/5
